student_id,first_name,last_name
1,Yoshi,Rodriguez
2,Len,Ortiz
3,Valentine,Mooney
4,Imani,Petersen
5,Violet,Norton
6,Graham,Chambers
7,Lois,Rutledge
8,Cara,Rivers
9,Eagan,Myers
10,Hilda,Shaffer
11,Martin,Dorsey
12,Marshall,Crosby
13,Odette,Valdez
14,Jenette,Austin
15,Lewis,Holloway
16,Vaughan,Randall
17,Lesley,Nicholson
18,Mariko,Navarro
19,Jin,Harper
20,Driscoll,Henson
21,Lucian,Chandler
22,Jameson,Tran
23,Aimee,Ray
24,Sybill,Fuller
25,Audra,Byers
26,Travis,Wiggins
27,Stacy,Fitzpatrick
28,Cain,Henson
29,Jerry,Montgomery
30,Janna,Munoz
31,Victoria,Sharpe
32,Libby,Roberts
33,Germane,Cleveland
34,Gary,James
35,Lynn,Snider
36,Kuame,Ryan
37,Kimberley,Garza
38,Troy,Rush
39,Amos,Sexton
40,Jacob,Briggs
41,Felicia,Hodge
42,Madonna,Patton
43,Richard,Wood
44,Nathan,Stewart
45,Kieran,Buchanan
46,Victor,Brady
47,Coby,Petersen
48,Jacqueline,Levine
49,Anthony,Conley
50,Irma,England
